Alpha,Energy,Time
0.2,0,1.448809ms
0.25,0,416.831µs
0.3,0,626.611µs
0.35,0,1.954977ms
0.4,0,1.396267ms
0.45,0,444.325µs
0.5,0,422.027µs
0.55,0,865.804µs
0.6,0,1.621439ms
0.65,0,576.828µs
0.7,0,498.977µs
0.75,0,378.09µs
0.8,0,1.293846ms
