energy[au],time[s],variance,acceptance_rate
2.109157745277388,7.091,0.8908439227671875,0.5231941066710872,0.98099
2.073740432569947,7.129,0.7626653685582676,0.5894723203965357,0.97957
2.08576527649024,7.328,0.7463735999675684,0.3409787505975004,0.97969
2.0604873401307517,7.52,0.9100553256004367,0.2413355095119858,0.98167
2.055461249625146,7.673,1.0033488723673871,0.42804675036332007,0.98325
2.2744657866793543,7.673,0.6887949952256393,0.3152643287366379,0.97723
2.20816228788085,7.747,0.795847463510047,0.36720554493618796,0.97977
2.159287641252199,7.953,0.782943756231503,0.20750969699623223,0.97817
2.031747497669916,7.91,0.8947001271866095,0.5228065500271555,0.98159
2.1280979507169633,7.242,0.8723884828202143,0.252019495757418,0.97988
