energy[au],time[s],kinetic,variance,acceptance_rate
3.2168957507928644,7.62,0.9709981331827547,1.6776400575598895,0.97851
3.0499810188992815,7.603,0.863091088790263,1.6558676646386825,0.97754
3.343094793906061,7.627,1.0343329797196978,3.1676595595063812,0.98016
3.0593024071507458,7.748,1.0021574948412806,0.8106532172728986,0.97838
3.116988957783406,7.941,0.8090883917451127,2.245413334391529,0.97796
3.1608953889093905,7.771,1.0109593376805153,1.267358765739484,0.97983
3.1658638343192953,8.27,0.9404249668811264,1.8492401798326696,0.97885
3.2658263214998366,8.191,1.0027907061699313,2.439824021274706,0.97974
3.1664203094092307,8.112,1.003143714841126,2.5507819494535084,0.98016
3.121525917148455,5.579,1.0456959556674998,1.0341494318506683,0.9793
