energy[au],time[s],variance,acceptance_rate
3.19711061200565,6.773,1.042829948784402,2.912626505505763,0.95114
3.3196118113280924,6.801,1.085759845544476,6.127441634643915,0.9523
3.244348473635052,6.804,0.9979970173498225,3.942208387409009,0.9494
3.2069553966422952,6.82,0.942996663344772,4.087615323252523,0.949
3.30787425323851,6.948,1.0158707488302925,5.698009161033916,0.95001
3.245189778292936,7.07,0.9728459409897418,4.141280193709305,0.94971
3.184853544104004,7.16,1.018778797576989,3.265388901937211,0.95102
3.2204462622427896,6.372,1.0081021175607239,12.045380559587674,0.95058
3.2950037100663487,4.266,1.066347133629766,4.856562070858921,0.95254
3.281125510447395,4.034,1.0501476689833842,3.492094707930203,0.95226
