energy[au],time[s],variance,acceptance_rate
3.2357210972536126,6.301,1.0338745299089098,7.324949580883773,0.95093
3.2778676586894577,6.292,0.9945732774305889,4.314263535375774,0.94971
3.30678357947188,6.346,1.0015472835804984,7.584405339655849,0.94994
3.352257912707877,6.388,1.040468127760631,5.192794368522939,0.94992
3.2820316680482353,6.526,0.9817029157309168,65.13915107087414,0.94938
3.193437333571161,6.64,0.9870582132223962,2.8639373786371323,0.9501
3.1534988850677577,6.761,0.9313009446092786,4.967269775149264,0.94923
3.248520656100492,6.73,0.9978004231920814,3.93871163099616,0.94905
3.2666972818859454,6.721,1.060938004132538,3.652007637989085,0.952
3.186789051006857,5.027,1.0002255489434213,2.5295408798859373,0.95074
