energy,time
2.76126698588044,4.087955304s
2.7766245112920185,4.159230696s
2.7557344851968786,4.16101148s
2.792973149014038,4.14800533s
2.7580500211997308,3.968284528s
2.766792677607522,4.009973287s
2.757226329866184,4.048117089s
2.745976506582367,2.850599458s
2.7830125073337033,2.321979022s
2.753917913413632,2.340346395s
