energy[au],time[s],kinetic,variance,acceptance_rate
3.7678583900343767,7.001,1.7034601668917817,0.7045902536288615,0.98059
3.5577769105391197,6.981,1.5024441780496154,0.42878897804356875,0.97764
3.769856992185831,6.966,1.3497635134416897,0.6980592108191459,0.97805
3.959887508940248,7.023,1.624156724740642,0.7749622853472271,0.97965
3.6644204508519924,7.124,1.4835965949584906,0.5132006441542316,0.97799
3.789460676434817,6.959,1.5003226794541562,0.7263377060519645,0.97821
3.829361233600563,6.926,1.590733915299448,0.6616112035065242,0.97969
3.7513731079346044,7.278,1.5007193083670283,0.7827355430139828,0.97943
3.9065781339119803,8.56,1.5859101032379885,0.7581069045357101,0.98028
3.6331797858411656,7.156,1.5073995567062162,0.6230999141824327,0.97854
