energy[au],time[s],variance,acceptance_rate
3.2242974160000757,5.246,0.9650589967042085,4.7081916321392345,0.97776
3.4450508827027497,5.236,1.0586392194193526,5.542109005288843,0.97896
3.303524066278015,5.233,0.9954779277189023,6.651865929724494,0.97734
3.2733648846555763,5.249,1.016074709501742,2.46065058725347,0.97792
3.1284547523703004,5.296,0.9345755905399914,4.427058194017958,0.97878
3.1882391907386674,5.285,1.0036354492973487,3.760761262328476,0.97755
3.065319715855389,5.388,0.9043602913587985,2.61517867512104,0.97696
3.352735238010537,5.476,1.173520298889009,17.66004465986194,0.9802
3.495235620250292,5.534,1.1461492537937519,9.457997053292031,0.98018
3.2447008591867523,5.627,1.0741694623012914,7.3789556277700115,0.97898
