energy[au],time[s],variance,acceptance_rate
3.1053377565194853,7.098,0.8295316438194161,1.0748434948293966,0.98111
3.07193534101326,7.109,0.7738411938903333,1.8256644859174216,0.98026
3.094607807063271,7.236,0.6168849558158416,1.348748743410498,0.97706
3.0388293359865246,7.205,1.0446739560874931,1.3044762753218073,0.98202
3.054229326959863,7.344,0.8546257449503304,1.7214078931095944,0.9795
2.9637388161315403,7.489,0.8373640684126933,0.16333658273994445,0.98001
2.964905346430633,7.591,0.9818309414887332,0.19853837213573655,0.98077
3.0207822272678797,7.684,0.9719918377952284,0.9596615128511541,0.98165
2.970810141951118,7.929,0.8285197203032469,0.38633306331326445,0.97985
3.036180563814283,7.543,0.7022279807829507,0.811109195097167,0.97853
