energy[au],time[s],kinetic,variance,acceptance_rate
1.999976128740446,6.701,0.9186991191870936,0.0000005998976089216512,0.97589
1.999947509777655,6.782,1.036808859677964,0.0000004830157971369431,0.97719
1.9999634641619881,6.746,0.983116311540927,0.000000615534301307008,0.9767
1.9999847858879531,6.798,1.0655379345383003,0.0000005213560401173822,0.97889
2.0000077716590234,6.985,1.0350104461688516,0.0000005426284594989284,0.97813
1.9999883037993416,7.074,1.0147567958926473,0.0000005350539384885167,0.97718
2.0000124178570826,7.164,1.0666720406203078,0.0000004946535074878966,0.97819
1.9999885071689116,6.418,1.0179151378934403,0.0000005995745175901845,0.97814
2.000001201503601,4.238,0.9967041501909736,0.0000005730888714694515,0.97648
2.000014536809679,4.042,1.0356307293976337,0.0000004885129136766864,0.97858
