energy[au],time[s],variance,acceptance_rate
2.659789558903419,6.452,0.49391947460174845,0.24725936356507994,0.98125
2.6881637285978552,6.46,0.5148770941183785,0.25139495095036235,0.97954
2.677019105256316,6.621,0.5632212196283307,0.19096170482911212,0.97947
2.8348662600414527,6.81,0.6354929268396361,0.348596801853164,0.97974
2.7739374165625934,6.928,0.6514642343439531,0.25250547314889715,0.98112
2.716801375670957,6.955,0.3626922044701787,0.3471893291939665,0.97882
2.802440708929167,6.998,0.5254435208411514,0.38367009434660204,0.97965
2.6365283955267986,7.13,0.6379675516097839,0.18633820394400846,0.98094
2.6948627936889875,7.469,0.6180735247204779,0.19248349941693377,0.9826
2.824136765322748,7.06,0.3968243086816994,0.35802515221414755,0.98019
