energy[au],time[s],kinetic,variance,acceptance_rate
3.124111875499997,8.596,0.9383704918986315,1.8701513027558843,0.94971
3.147270149503032,8.629,1.0295674823290537,1.2113047004805217,0.9529
3.1380974296969035,8.743,0.9757244745121754,1.3362397560956953,0.95108
3.209418198143089,8.847,0.9802714301422423,1.736977395220416,0.95199
3.0887598021161566,8.891,1.0144847422535532,1.2293940670328745,0.95359
3.170049581561988,9.11,1.0099936426900191,1.9216190722393733,0.95221
3.1187376899246417,10.056,0.9493057912874515,1.200139143860964,0.95123
3.2342906206785966,9.091,1.0658962996862935,2.1568820745938826,0.95371
3.1270622460672826,6.816,0.9233415462814947,1.6522827108330702,0.9499
3.1914452754000893,4.009,1.0302461069038444,2.625711503243128,0.95313
