energy[au],time[s],kinetic,variance,acceptance_rate
1.9973096057570485,8.658,0.952628659051249,0.25294632754573954,0.97665
2.022625013466788,8.656,0.9382282873820516,0.4542112553976292,0.97665
2.0122391061685367,8.699,0.9106557467174886,0.40426819434162464,0.97528
2.0037443277369404,8.757,0.9098503689631137,0.42596402597248595,0.97536
2.011308174788954,8.867,1.0119096835228873,0.16590600511856657,0.97795
2.008477990752487,9.156,0.9037956693775178,0.38933873300531907,0.97557
2.0077911423074775,10.016,0.944266417057345,0.37370959120253566,0.97616
2.0003139573342157,9.263,0.9838976446914746,0.47855002996720497,0.97678
1.9987663547401737,7.209,0.9254416583449937,0.2778168390702729,0.97582
2.0112079844468504,3.888,0.9942484562465465,0.2550958903128411,0.97685
