energy[au],time[s],variance,acceptance_rate
2.936717338465941,5.768,0.9020685253461481,1.7491887879247603,0.97654
3.1561219202049404,5.828,0.8393663741428684,6.7865034212817985,0.97711
3.273521196306688,5.82,0.9852056435670443,4.661815756583648,0.97774
3.119846443466481,5.897,0.8961777913441329,2.6911343490035815,0.97638
3.2617112311550827,5.971,0.9392137623191565,3.14539461202809,0.97773
2.9850716161384065,6.039,0.8841590624940097,2.1619128611701814,0.97739
3.0925615209744053,6.123,1.0959071070769595,0.877879677872734,0.97974
2.9881444452096693,6.272,0.917820156614537,1.8848628884096783,0.97752
3.0930238953157616,6.154,0.9789695069909886,3.6689161446796277,0.97785
3.2270018873660598,3.876,1.1093421316990435,6.238448787964913,0.97885
