energy[au],time[s]
3.891177535883112,43.818
3.7459712119383575,43.568
3.9063333339040196,43.629
3.916202067693729,41.042
3.8651903676145003,32.516
3.8817583409492684,33.373
3.7964098286819756,36.278
3.869959374325699,35.128
3.8105472276851517,33.462
3.8727111884334917,35.634
