energy[au],time[s],kinetic,variance,acceptance_rate
2.1074801192921013,8.207,0.8531245842733308,0.3325378729091799,0.97437
2.0437266183800697,8.293,0.8929341167376116,0.4256952357587922,0.9753
2.0964951662662368,8.523,0.846011784779584,0.39328348732213136,0.97371
2.056558024337299,8.775,0.844044881631594,0.3509157132980034,0.97342
2.133548205712197,8.923,0.8864575305169006,0.21692498121019366,0.97408
2.09177021423907,8.964,0.8552200176756753,0.3756499123904318,0.97418
2.1254973918695605,9.187,0.8529037656238392,0.33029383759462494,0.97377
2.120499814514585,8.229,0.8594775808903773,0.35911837179045847,0.97391
2.1451618070961898,7.27,0.8450127856681147,0.32106858495349044,0.97368
2.1108800060957074,4.252,0.8946107908640858,0.5246131894195827,0.97514
