energy[au],time[s],variance,acceptance_rate
1.6095118944073743,6.306,0.37361064759784735,4.549711134574132,0.98044
1.7377410275004481,6.325,0.5527082108253243,3.6800633131185148,0.98113
1.8351892321210377,6.379,0.5517916530063519,4.412999682426108,0.98042
1.912649280637313,6.406,0.3664860456532786,1.4794730455814826,0.97804
1.7052590437117157,6.356,0.5693769163997221,6.511591599741329,0.98163
1.7390593371844665,6.509,0.6010603366479846,2.011024645804992,0.98137
1.966196093238401,6.606,0.522024795879387,2.3050560024945836,0.97868
1.865307508343668,6.709,0.6764763101744066,1.2331827189475928,0.98089
1.9434743544662032,6.754,0.609401577555587,0.8972048653947713,0.97957
2.024064203548008,7.034,0.6170518234719718,1.7279355472491584,0.97984
