distance,wf_squared
0.02,1.0665803732359096
0.04,1.0774160657823644
0.06,1.0790542593250887
0.08,1.0760200537639921
0.1,1.07009087195029
0.12,1.0621890515082615
0.14,1.052867874324648
0.16,1.0424906422720577
0.18,1.0313111512183584
0.2,1.0195148560697027
0.22,1.0072419629060645
0.24,0.9946013143418876
0.26,0.9816792050478916
0.28,0.9685452288928447
0.3,0.9552562995477367
0.32,0.9418594999493596
0.34,0.9283941543600752
0.36,0.9148933688660774
0.38,0.901385198975591
0.4,0.8878935496948727
0.42,0.8744388798530736
0.44,0.8610387606567427
0.46,0.8477083239760531
0.48,0.834460626031904
0.5,0.821306945342894
0.52,0.8082570289902363
0.54,0.7953192978192799
0.56,0.7825010186958965
0.58,0.7698084500936189
0.6,0.7572469659130244
0.62,0.7448211613978157
0.64,0.7325349442212599
0.66,0.7203916132076843
0.68,0.7083939266805084
0.7000000000000001,0.6965441620573816
0.72,0.6848441680199947
0.74,0.6732954103529016
0.76,0.6618990123587515
0.78,0.6506557906065029
0.8,0.6395662866467289
0.8200000000000001,0.6286307952281185
0.84,0.6178493894671445
0.86,0.6072219433550666
0.88,0.5967481519301807
0.9,0.5864275493963214
0.92,0.5762595254293534
0.9400000000000001,0.5662433398803509
0.96,0.5563781360562663
0.98,0.5466629527352425
1,0.5370967350535858
1.02,0.5276783443842386
1.04,0.518406567311841
1.06,0.5092801237968224
1.08,0.5002976746100188
1.1,0.49145782810987754
1.12,0.4827591464260902
1.1400000000000001,0.4742001511063726
1.16,0.4657793282768772
1.18,0.45749513336127623
1.2,0.4493459953987849
1.22,0.441330320997185
1.24,0.43344649795322165
1.26,0.42569289856947323
1.28,0.41806788269390466
1.3,0.4105698005057571
1.32,0.4031969950691396
1.34,0.39594780467367136
1.36,0.3888205649797084
1.3800000000000001,0.38181361098407146
1.4000000000000001,0.3749252788207529
1.42,0.36815390740977194
1.44,0.36149783996619195
1.46,0.3549554253802609
1.48,0.3485250194786898
1.5,0.34220498617623657
1.52,0.3359936985259875
1.54,0.3298895396760347
1.56,0.3238909037396135
1.58,0.3179961965851924
1.6,0.31220383655248685
1.62,0.30651225509989194
1.6400000000000001,0.3009198973884021
1.6600000000000001,0.29542522280668504
1.68,0.29002670544162573
1.7,0.2847228344983211
1.72,0.2795121146732088
1.74,0.2743930664837362
1.76,0.2693642265577255
1.78,0.2644241478853563
1.8,0.25957140003647466
1.82,0.2548045693457442
1.84,0.25012225906797086
1.86,0.24552308950576884
1.8800000000000001,0.24100569811158237
1.9000000000000001,0.23656873956593505
1.92,0.2322108858336496
1.94,0.22793082619965865
1.96,0.2237272672859174
1.98,0.21959893305082298
2,0.21554456477245224
