energy[au],time[s],variance,acceptance_rate
1.8161329812654914,7.249,0.5616242208015401,3.848744033041072,0.97432
1.8201194393758984,7.224,0.4682858261906998,1.4950804246181626,0.97215
1.85365639030801,7.309,0.5818485939892544,6.216960082286231,0.97437
1.74865301887616,7.31,0.5319927656971674,2.2505850954833218,0.97421
1.7539829288720785,7.483,0.522274478223885,4.145614284676528,0.97439
1.764667735982369,7.628,0.5344603405834567,2.6343401856035045,0.97513
1.8461137361431061,7.746,0.5593575727775447,1.1928904319142388,0.97322
1.8482447367654888,7.864,0.5917939886840856,2.85920031430137,0.97374
1.7584124526166882,8.053,0.521766386974239,2.4856855116188794,0.973
1.7697341475341908,7.285,0.558617223156669,2.1569236568180132,0.97499
