energy[au],time[s],variance,acceptance_rate
2.000006820809072,5.68,1.054441154964194,0.0000004134430726665528,0.97846
2.000107380890479,5.716,0.9913494125372827,0.0000005232616224759568,0.97891
2.000080142929729,5.718,0.9677121332410099,0.0000005347361007324025,0.97755
2.0000325280163858,5.747,0.9357150433343645,0.0000007575201292908673,0.97885
1.9999376308549879,5.84,1.1740573955532392,0.00000030231182401863066,0.97996
2.0000358295151286,5.951,0.937009658071383,0.00000046773240569564223,0.97822
1.9999923436923743,6.008,1.023195094955671,0.00000043642505120899955,0.97764
2.0000604072403525,6.109,0.9414022663412837,0.000000891728475949094,0.97773
1.999985745051091,6.113,1.0412044847370603,0.0000005374492340060044,0.97836
2.0000107955720963,6.064,0.8908979622100488,0.0000005606950939096578,0.97762
