energy[au],time[s],kinetic,variance,acceptance_rate
2.6853228149680946,7.398,0.5693212482066109,0.2264934237988978,0.95488
2.778125439646218,7.485,0.6178757967539118,0.3195635728475903,0.956
2.7292531730378466,7.668,0.5227088524051703,0.25192454205189474,0.95538
2.7151876931510195,7.834,0.5453320547164515,0.24818460697619305,0.9541
2.768774278587691,7.959,0.6469702354136484,0.2524647978230883,0.95587
2.739170379536008,8.068,0.563793341979189,0.2552717399819677,0.95542
2.7292056123262864,8.136,0.4915208024406139,0.26655814678633405,0.95388
2.7123522723521116,8.57,0.5534860069786353,0.2530721846177766,0.95466
2.7472950106396867,7.304,0.6191808314736073,0.2766916742301557,0.9562
2.7226772172781404,4.79,0.5412240667875815,0.3130936280650811,0.95241
