energy[au],time[s],kinetic,variance,acceptance_rate
3.7538986877849254,7.96,1.5001749151623076,0.6950076450260401,0.95036
3.7213715995712553,8.083,1.5489176693856959,0.6449217153515718,0.95193
3.746056104340279,8.044,1.5726107980190684,0.6320928263619567,0.95089
3.6947522925069216,8.15,1.4749530401859694,0.6572280852515178,0.94976
3.7346972133221445,8.086,1.487940867628572,0.7045254469683648,0.95032
3.7425260089953514,8.141,1.5349823736978565,0.6907379145446715,0.95169
3.728121093511895,9.004,1.5606897763699574,0.6929663716984553,0.95124
3.771636214061032,8.874,1.5942816341404094,0.6988988631440236,0.95335
3.7752091656214057,6.66,1.5707687692152046,0.7178000723084832,0.9516
3.712316439767378,5.546,1.462187525145761,0.6812430885060881,0.94869
