Alpha,Energy,Time
0.2,0,177.241µs
0.25,2.1965258248911814,131.61µs
0.3,0,101.719µs
0.35,0.8910335305562395,164.501µs
0.4,1.3670435260618667,138.875µs
0.45,2.506269924311011,116.994µs
0.5,4.288828773729831,147.513µs
0.55,0,114.442µs
0.6,1.6876581833705153,164.351µs
0.65,0,86.558µs
0.7,0,103.945µs
0.75,1.687725206572341,162.107µs
0.8,0,125.643µs
