Alpha,Energy,Time
0.2,0,2.48759ms
0.25,0,9.640102ms
0.3,0,2.445928ms
0.35,0,4.226046ms
0.4,0,3.826134ms
0.45,0,8.206884ms
0.5,0,3.32153ms
0.55,0,2.826361ms
0.6,0,7.554578ms
0.65,0,2.670848ms
0.7,0,3.333683ms
0.75,0,12.023345ms
0.8,0,3.951048ms
