alpha,beta,energy-per-particle[au],time[s],variance
1.8,1.2,1.888471741783459,18.426,5.10348500570818
1.741355292476419,1.1863726533013936,1.9948807788354699,18.113,63.77667637549771
1.6943373899277323,1.1740550830159724,1.9071057546817776,17.769,8.887199818609664
1.6468730068762203,1.1613752638573636,1.944675770888153,18.183,3.6230267859480616
1.6000537054268453,1.148806585182968,1.7894130866277147,16.227,7.377690600372965
1.5412842702433414,1.1347102564350093,1.8786134677400257,13.564,3.5680626986047415
1.4952901740565616,1.1225262700653988,1.7246717512285226,13.556,3.126012597896727
1.4505671628003547,1.1103163305365704,1.7985845059384837,13.874,5.224365743456692
1.3963781071439207,1.0964889262074657,1.7419721709917053,13.753,5.046011250019459
1.3532740814865707,1.084421811455185,1.7066952564724474,13.782,7.8340267683594575
1.2990393007513468,1.0714279652062517,1.6995695440471024,11.727,2.3035396237715915
1.259404030744834,1.0600016934490855,1.64135663596699,11.98,2.5556598974067626
1.2121249181628084,1.0482363373421215,1.6132101584098282,12.546,2.1023333381466607
1.1726840116725918,1.0372709808844933,1.6555388704046454,21.434,4.6036388264289325
1.1381565577885127,1.0255924214626266,1.6367210378135633,15.263,1.4906927977022928
