alpha,beta,energy-per-particle[au],time[s],variance
0.4,1.6,1.8746702721332036,17.915,3.359420959870363
0.702232212331086,1.6012811622446816,1.6075309058531861,21.034,2.8800289203960734
0.7173481649153175,1.5972815321680207,1.5678103856515657,18.446,3.0356394931561237
0.7343388788013625,1.5948425667077823,1.6167740766790273,20.323,1.3407513601405903
0.7528857022889666,1.5923362003470456,1.57098837275822,19.441,1.553260577054493
0.754953684541558,1.5884024596031072,1.6033006943920631,20.567,1.8311618108768268
0.7521006333960084,1.5838581093471034,1.5817490397588918,18.688,2.7520073014754036
0.7591776694646218,1.580117044191743,1.584392274725688,18.497,1.3579782179693787
0.7626794068253452,1.5762892341296542,1.5536151419482007,18.426,1.5624232017897786
0.7776104712763592,1.5731713225522674,1.4942759942130452,18.773,1.4255993126646622
0.783254062037281,1.5711209635217935,1.564878826398973,18.127,1.2094498259938522
0.7921995541296557,1.5679383518766496,1.6328369879712483,18.797,2.258552406958298
0.7863219730157459,1.5627652810687727,1.6226699895708516,18.56,3.2164780399601316
0.7855738777747998,1.5578914804897692,1.5409524299470194,18.349,3.420040160478022
0.8019506019475666,1.554540430339159,1.6182418041153386,18.152,3.1172846517457558
0.789186044988251,1.549191123467682,1.525252499998241,18.787,1.3670145194650765
0.7821377917213236,1.545575915849797,1.5372825597451696,18.373,1.263937372815091
0.8109857505078711,1.54302165875721,1.5463164634424984,18.909,1.6382025447315645
0.8116368381504576,1.5395500624719975,1.5454956932720179,18.234,1.8063468154743756
0.8004255597846902,1.5351515281486388,1.5856926905759692,18.556,4.273646686772606
0.7928096477549571,1.5300854512353321,1.5698167711526858,15.176,1.9522076142296196
0.784315065629261,1.525473538036098,1.5240825672574498,18.243,1.0774814039981404
0.7885584436098945,1.5226786309131648,1.5747499364295539,18.245,1.630406923456059
0.8004097651233828,1.518438546480835,1.5449988930042429,18.272,6.551910859330349
0.7890102278513914,1.5141104126508629,1.5403049517082543,18.196,2.7741173840837057
0.7875309587178606,1.510556231477759,1.513336815498111,18.409,0.5305400354361076
0.8015750251319717,1.5083089758880444,1.5490355777276272,18.303,1.646058450946457
0.7946442450410701,1.5043183496780559,1.5978581240961185,18.275,2.087251727494321
0.7905897821078055,1.4997497635651795,1.5715503166325635,18.132,2.028552360555448
0.7927078469597417,1.4951699564413123,1.586950212870403,18.477,2.6152280266536927
0.7987304279736436,1.4910403913692607,1.5705754656158246,16.792,3.299804089792934
0.7980466352121631,1.4871531635793522,1.5380885889026374,13.715,1.7209290780720465
0.7990886430565557,1.4833025482918674,1.5709697570295342,13.725,1.307624057496291
0.7991413380728173,1.4790096560016968,1.5519865644547017,13.923,1.2175890131449698
0.8039211940442047,1.4756062625610398,1.5620826131433891,14.015,1.0988865029833175
0.7995782425213226,1.4721757329102572,1.5643827349417887,13.686,1.237336450781875
0.7948888301295572,1.4679776311186188,1.6168419393888573,13.761,2.5649301274958116
0.7937452270435427,1.4624463994376,1.4856552093192097,13.905,0.4792594748208714
