alpha,beta,energy-per-particle[au],time[s],variance
1.8,1.6,1.9241488204023367,13.783,7.090695647730746
1.719432411568901,1.5884148842321266,1.9287789431268154,13.636,4.1281991560622515
1.6745226890401768,1.5804357804158549,1.9132938024704633,13.436,7.086152063653913
1.6219465731274763,1.5713280708727801,1.8962549385725673,13.809,7.728807558156165
1.5674668721438458,1.5617022379424426,1.9024136177466962,13.505,6.95227159200061
1.517944149557921,1.5527712625090033,1.7439433485564777,13.784,5.928174331874528
1.453521863264367,1.5429889142493842,1.8164780732814059,13.445,4.694645642626387
1.4004742775002548,1.534503982975002,1.8528437339725072,13.42,5.423558536507086
1.352203020811061,1.5258579818970375,1.6691617160965213,13.425,4.546815269094925
1.2948078371845175,1.5183865648150567,1.6370661806237865,13.466,8.597976529815577
1.2533961997984269,1.5118570728826315,1.655357960042713,13.454,2.6546601119007267
1.209061205121094,1.5045135068391928,1.6764320450074979,12.996,2.916659001823618
1.1493421813686082,1.4960613130799558,1.6048789607274634,12.301,2.4177219768894673
1.1009122744102142,1.4885939121678022,1.6342447396383473,12.515,2.392448168481101
1.0652824629145399,1.4820706102294343,1.626518771988028,16.378,3.5963600841796985
1.0313275283355159,1.4757241248675157,1.5005553436296073,15.257,1.3657526848750763
