alpha,beta,energy-per-particle[au],time[s],variance
1.2,1,1.6549311105958469,18.91,2.6223798469067106
1.1646032942335292,0.9867858865250758,1.680305437017042,17.715,3.244811979182451
1.1304098429954668,0.97435439549475,1.6558325364516941,18.428,2.5834322165352805
1.097412753666727,0.9615622422967759,1.605105723408858,18.252,1.507518588671397
1.07253765814762,0.9514006180389248,1.5578283927903003,20.755,1.3920145060827256
1.0428045223486437,0.9400972432208426,1.6367313316200929,18.776,5.871508540274316
1.01651069292229,0.9275802448556021,1.5508529150220416,24.108,1.2902589839995962
0.9909989034710041,0.9175351545634864,1.6015898261170831,18.892,2.1331994934275773
0.9667024118699962,0.9056576897637955,1.57902979029818,19.283,2.421778391316522
0.9445805593555617,0.8942538890487672,1.6143106768260582,18.986,3.834020126861546
0.9233586681052207,0.8826378402805335,1.5511087438971591,18.922,2.3719314688536137
0.9145767808515395,0.8724857024856714,1.5848905750905775,18.684,1.5215342663046858
0.8941859363176063,0.8616922326390587,1.5806347793055155,20.053,1.8332585551731189
0.8785233918264674,0.8522030386728581,1.6039600657453088,19.956,2.067565361021675
0.8677919946468863,0.8415250249004494,1.5519414300318568,19.172,1.3350312354926093
0.8600240046119771,0.8324590017315884,1.5851072826659585,19.086,4.9667979793707815
0.8530139523493498,0.8220675986412016,1.5498858260943313,19.092,1.2739390832900117
0.8460649001716138,0.8133937991659794,1.5870770490858412,18.007,1.323460869370754
0.8503782699309144,0.8036287419344206,1.537404399692817,14.26,1.4322971999487368
0.84105759784373,0.7939570630719872,1.5864709590024764,15.986,2.090816173060288
0.8397150097160825,0.7840640514725264,1.5159050841329014,23.599,0.8097676773562181
0.8381453510231599,0.7765334288138761,1.539258290915897,19.306,1.2776903891353761
0.8312997268515789,0.7680384321027044,1.5521813286618373,18.464,2.287317958257196
0.8249738649919712,0.758707369386985,1.5040663678619774,15.755,1.1341703333899247
0.820771105423035,0.7511241487533823,1.521221819680874,14.018,1.503680647852077
0.8126409524604918,0.742416500681152,1.5425537521290447,14.432,1.2807438695200624
0.8120603374723535,0.7338954054312411,1.5362831159537869,14.063,0.8886998358880618
0.8194182793781394,0.7264850296972323,1.539466934390712,14.617,0.5842554690283652
0.8242940566282557,0.7184555867130065,1.5464063948692555,14.846,0.9497672348704267
0.8206956564488301,0.7082622778021348,1.5150396043204923,14.808,1.1401365673261346
0.8258432756650986,0.7019814069691214,1.57630980427055,14.295,2.631803898858328
0.8232130684973867,0.6906408228270905,1.5472521495734235,15.025,1.3091828415216007
0.8301869355281691,0.6804359542107755,1.607645122264075,13.59,2.7445715369405956
0.8334932452836877,0.6676004436139764,1.5333211967517901,13.575,1.6867026230726694
0.8275512669400583,0.6563027906324856,1.5350438473633217,13.572,0.9664579261905608
0.8333445966293404,0.6483346844870055,1.5514381921676417,13.657,1.3460349369787217
0.8272559341136198,0.635079281243564,1.537447258666756,13.479,0.7483230919601702
0.8318756644492235,0.6264948854827127,1.560560729648709,13.473,3.047034586483475
0.8215981834314039,0.6139700777456107,1.5290473175195298,13.541,1.0485860099773543
0.8183457060481897,0.6053554554985249,1.5595630297252536,13.918,1.0497671628200287
0.8208122510099253,0.5956770428512232,1.5087781657786705,14.47,0.7654442012335263
0.8158664899199463,0.5850797460382929,1.5706086295062172,13.487,2.377840811944507
0.809362844139835,0.5721894637039296,1.5567332323140735,13.511,2.671017610472342
0.8122888347553029,0.5604805516448439,1.5169557023553772,13.53,1.0172462548684802
0.809804017089419,0.550149832066481,1.5131849821607417,14.175,2.2492901492639756
0.8099107363150326,0.5409819725194812,1.5476474797763298,13.586,0.7972706837863655
0.8072598865132058,0.5301686075428775,1.5153069138560011,13.514,0.9539209455081927
0.8032719341468226,0.5194779768526102,1.5823252026604302,13.574,2.390986766462511
