Alpha,Energy,Time
0.2,0,5.685877ms
0.25,0,5.435037ms
0.3,0,4.805474ms
0.35,0,8.643739ms
0.4,0,5.829812ms
0.45,0,13.311386ms
0.5,0,5.300084ms
0.55,0,19.716511ms
0.6,0,16.579958ms
0.65,0,5.188471ms
0.7,0,11.334936ms
0.75,0,11.676009ms
0.8,0,9.659215ms
